"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Tennessee","47","2018","2018",1341,6770010,19.8,18.7,20.9
,"Tennessee","47","2019","2019",1593,6829174,23.3,22.2,24.5
,"Tennessee","47","2020","2020",2456,6886834,35.7,34.3,37.1
,"Tennessee","47","2021","2021",3087,6975218,44.3,42.7,45.8
,"Tennessee","47","2022","2022",3111,7051339,44.1,42.6,45.7
,"Tennessee","47","2023","2023",2973,7126489,41.7,40.2,43.2
,"Tennessee","47","2024 ","2024",1860,7227750,25.7,24.6,26.9
"Total","Tennessee","47",,,16421,48866814,33.6,33.1,34.1
,"Texas","48","2018","2018",1457,28701845,5.1,4.8,5.3
,"Texas","48","2019","2019",1562,28995881,5.4,5.1,5.7
,"Texas","48","2020","2020",2191,29360759,7.5,7.1,7.8
,"Texas","48","2021","2021",2845,29527941,9.6,9.3,10.0
,"Texas","48","2022","2022",3254,30029572,10.8,10.5,11.2
,"Texas","48","2023","2023",3262,30503301,10.7,10.3,11.1
,"Texas","48","2024 ","2024",2496,31290831,8.0,7.7,8.3
"Total","Texas","48",,,17067,208410130,8.2,8.1,8.3
,"Utah","49","2018","2018",458,3161105,14.5,13.2,15.8
,"Utah","49","2019","2019",415,3205958,12.9,11.7,14.2
,"Utah","49","2020","2020",455,3249879,14.0,12.7,15.3
,"Utah","49","2021","2021",458,3337975,13.7,12.5,15.0
,"Utah","49","2022","2022",445,3380800,13.2,11.9,14.4
,"Utah","49","2023","2023",517,3417734,15.1,13.8,16.4
,"Utah","49","2024 ","2024",466,3503613,13.3,12.1,14.5
"Total","Utah","49",,,3214,23257064,13.8,13.3,14.3
,"Vermont","50","2018","2018",128,626299,20.4,16.9,24.0
,"Vermont","50","2019","2019",117,623989,18.8,15.4,22.1
,"Vermont","50","2020","2020",165,623347,26.5,22.4,30.5
,"Vermont","50","2021","2021",224,645570,34.7,30.2,39.2
,"Vermont","50","2022","2022",247,647064,38.2,33.4,42.9
,"Vermont","50","2023","2023",238,647464,36.8,32.1,41.4
,"Vermont","50","2024 ","2024",189,648493,29.1,25.0,33.3
"Total","Vermont","50",,,1308,4462226,29.3,27.7,30.9
